id,name,card_type,pokemon_type,hp,ex,stage,rarity,set,subset,ability_name,move1_name,move1_cost,move1_damage,move1_description,move2_name,move2_cost,move2_damage,move2_description,image,page
A1 001,Bulbasaur,Pokemon,Grass,70,1,Basic,◇,Genetic Apex (A1),Mewtwo,,Vine Whip,🟢🔘,40,,,,,,https://img.game8.co/3998332/91c4f79b2b3b4206205bf69db8dd3d1e.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476002
A1 002,Ivysaur,Pokemon,Grass,90,1,Stage 1,◇◇,Genetic Apex (A1),Mewtwo,,Razor Leaf,🟢🔘🔘,40,,,,,,https://img.game8.co/4006820/34e0ae3e3a08bf4586263f804fd42d06.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476003
A1 003,Venusaur,Pokemon,Grass,160,1,Stage 2,◇◇◇,Genetic Apex (A1),Mewtwo,,Mega Drain,🟢🟢🔘🔘,80,Heal 30 damage from this Pokemon.,,,,,https://img.game8.co/4003548/e62b9303f29d5360acfef5c9a1d8c6d3.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476004
A1 004,Venusaur ex,Pokemon,Grass,190,2,Stage 2,◇◇◇◇,Genetic Apex (A1),Mewtwo,,Razor Leaf,🟢🔘🔘,60,,Giant Bloom,🟢🟢🔘🔘,100,Heal 30 damage from this Pokemon.,https://img.game8.co/3995580/151d2c9455f83899618147d85881a75e.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476005
A1 005,Caterpie,Pokemon,Grass,50,1,Basic,◇,Genetic Apex (A1),Pikachu,,Find a Friend,🔘,,Put 1 random Grass Pokemon from your deck into your hand.,,,,,https://img.game8.co/4004054/ac3d9d05b0255de5e3e1d2e6f5609407.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476006
A1 006,Metapod,Pokemon,Grass,80,1,Stage 1,◇,Genetic Apex (A1),Pikachu,,Bug Bite,🔘🔘,30,,,,,,https://img.game8.co/4171622/30010ab7360bb1aca119daf648d716d2.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476007
A1 007,Butterfree,Pokemon,Grass,120,1,Stage 2,◇◇◇,Genetic Apex (A1),Pikachu,Powder Heal,Gust,🟢🔘🔘,60,,,,,,https://img.game8.co/4004057/6ba461fb08292cbabe715b6ead54dfb9.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476008
A1 008,Weedle,Pokemon,Grass,50,1,Basic,◇,Genetic Apex (A1),Mewtwo,,Sting,🟢,20,,,,,,https://img.game8.co/3998345/90945e1d343b71b9b81367632fc6419d.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476009
A1 009,Kakuna,Pokemon,Grass,80,1,Stage 1,◇,Genetic Apex (A1),Mewtwo,,Bug Bite,🟢,30,,,,,,https://img.game8.co/4171709/300cbccc28291e780271427c6147a7f5.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476010
A1 010,Beedrill,Pokemon,Grass,120,1,Stage 2,◇◇◇,Genetic Apex (A1),Mewtwo,,Sharp Sting,🟢,70,,,,,,https://img.game8.co/4006294/0ee9cea4b4d3ce61396be4dd82cd9421.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476011
A1 011,Oddish,Pokemon,Grass,60,1,Basic,◇,Genetic Apex (A1),Charizard,,Ram,🟢,20,,,,,,https://img.game8.co/4171726/f6e89388881bd46c1a2a12fb59fa7800.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476012
A1 012,Gloom,Pokemon,Grass,80,1,Stage 1,◇◇,Genetic Apex (A1),Charizard,,Drool,🟢🔘,40,,,,,,https://img.game8.co/3998364/e57c97310b27c6efac8506d7dd48921b.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476013
A1 013,Vileplume,Pokemon,Grass,140,1,Stage 2,◇◇◇,Genetic Apex (A1),Charizard,,Soothing Scent,🟢🟢🔘,80,Your opponent's Active Pokemon is now Asleep.,,,,,https://img.game8.co/4004049/8f7c224f4dde3d6d6012b428d57a748c.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476014
A1 014,Paras,Pokemon,Grass,70,1,Basic,◇,Genetic Apex (A1),Pikachu,,Scratch,🟢🔘,30,,,,,,https://img.game8.co/4006689/109616011b848f2a6858f7f34eafa06a.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476015
A1 015,Parasect,Pokemon,Grass,120,1,Stage 1,◇◇,Genetic Apex (A1),Pikachu,,Slash,🟢🟢🔘,80,,,,,,https://img.game8.co/4004050/ddfd3df6e04bf4b005bd856ced03be18.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476016
A1 016,Venonat,Pokemon,Grass,60,1,Basic,◇,Genetic Apex (A1),Mewtwo,,Tackle,🟢,20,,,,,,https://img.game8.co/4003547/5e326a850486a8ee124abdbc89d4e4b0.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476017
A1 017,Venomoth,Pokemon,Grass,80,1,Stage 1,◇◇,Genetic Apex (A1),Mewtwo,,Poison Powder,🟢,30,Your opponent's Active Pokemon is now Poisoned.,,,,,https://img.game8.co/4004056/277ad272b4379fa0fb3a423da11b729d.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476018
A1 018,Bellsprout,Pokemon,Grass,60,1,Basic,◇,Genetic Apex (A1),Charizard,,Vine Whip,🟢,30,,,,,,https://img.game8.co/3998361/0bb8f6247718d51699261c3b317fe1e2.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476019
A1 019,Weepinbell,Pokemon,Grass,90,1,Stage 1,◇◇,Genetic Apex (A1),Charizard,,Razor Leaf,🟢🔘,40,,,,,,https://img.game8.co/4003551/f3c89b9b13f35dd7a9f7826673294337.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476020
A1 020,Victreebel,Pokemon,Grass,140,1,Stage 2,◇◇◇,Genetic Apex (A1),Charizard,Fragrance Trap,Vine Whip,🟢🔘,60,,,,,,https://img.game8.co/3998369/33445897d312b1f7e399bcd686aff8d8.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476021
A1 021,Exeggcute,Pokemon,Grass,50,1,Basic,◇,Genetic Apex (A1),Charizard,,Seed Bomb,🟢,20,,,,,,https://img.game8.co/3998366/d833f142d39f949cb107c5ebde8d2cc8.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476022
A1 022,Exeggutor,Pokemon,Grass,130,1,Stage 1,◇◇◇,Genetic Apex (A1),Charizard,,Stomp,🟢,30+,"Flip a coin. If heads, this attack does 30 more damage.",,,,,https://img.game8.co/4006628/4e6a5342b585a516bc44f5b09eac3346.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476023
A1 023,Exeggutor ex,Pokemon,Grass,160,2,Stage 1,◇◇◇◇,Genetic Apex (A1),Charizard,,Tropical Swing,🟢,40+,"Flip a coin. If heads, this attack does 40 more damage.",,,,,https://img.game8.co/4003424/51e6ed4a578f4c675ff5a1244baaf3d4.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476024
A1 024,Tangela,Pokemon,Grass,80,1,Basic,◇,Genetic Apex (A1),Charizard,,Absorb,🟢🔘,40,Heal 30 damage from this Pokemon.,,,,,https://img.game8.co/4171730/ff4d8013811e8263d9c246d90f13eb0f.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476025
