id,name,card_type,pokemon_type,rarity,evolution_stage,ex,hp,ability,image_url,set,subset,trainer_type,owned,archive_url,moves1_energy_cost,moves1_description,moves1_damage,moves1_name,moves2_energy_cost,moves2_description,moves2_damage,moves2_name,moves3_energy_cost,moves3_description,moves3_damage,moves3_name
A1 001,Bulbasaur,Pokemon,Grass,◇,Basic,,70,,https://img.game8.co/3998332/91c4f79b2b3b4206205bf69db8dd3d1e.png/show,Genetic Apex (A1),Mewtwo,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476002,Grass:Colorless,,40,Vine Whip,,,,,A1-M:A4b,,1.562% | 0.277% | 0% | 0%,
A1 002,Ivysaur,Pokemon,Grass,◇◇,Stage 1,,90,,https://img.game8.co/4006820/34e0ae3e3a08bf4586263f804fd42d06.png/show,Genetic Apex (A1),Mewtwo,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476003,Grass:Colorless 2,,40,Razor Leaf,,,,,A1-M:A4b,,0% | 1.645% | 0% | 0%,
A1 003,Venusaur,Pokemon,Grass,◇◇◇,Stage 2,,160,,https://img.game8.co/4003548/e62b9303f29d5360acfef5c9a1d8c6d3.png/show,Genetic Apex (A1),Mewtwo,Stage 2,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476004,Grass 2:Colorless 2,Heal 30 damage from this Pokemon.,80,Mega Drain,,,,,A1-M,,,
A1 004,Venusaur ex,Pokemon,Grass,◇◇◇◇,Stage 2,ex,190,,https://img.game8.co/3995580/151d2c9455f83899618147d85881a75e.png/show,Genetic Apex (A1),Mewtwo,Stage 2,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476005,Grass:Colorless 2,,60,Razor Leaf,Grass 2:Colorless 2,Heal 30 damage from this Pokemon.,100,Giant Bloom,A1-M:A4b,,0% | 0% | 0% | 1.333%,
A1 005,Caterpie,Pokemon,Grass,◇,Basic,,50,,https://img.game8.co/4004054/ac3d9d05b0255de5e3e1d2e6f5609407.png/show,Genetic Apex (A1),Pikachu,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476006,Colorless,Put 1 random Grass Pokemon from your deck into your hand.,,Find a Friend,,,,,A1-P,,,
A1 006,Metapod,Pokemon,Grass,◇,Stage 1,,80,,https://img.game8.co/4171622/30010ab7360bb1aca119daf648d716d2.png/show,Genetic Apex (A1),Pikachu,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476007,Colorless 2,,30,Bug Bite,,,,,A1-P,,,
A1 007,Butterfree,Pokemon,Grass,◇◇◇,Stage 2,,120,Powder Heal,https://img.game8.co/4004057/6ba461fb08292cbabe715b6ead54dfb9.png/show,Genetic Apex (A1),Pikachu,Stage 2,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476008,Grass:Colorless 2,,60,Gust,,,,,A1-P,,,
A1 008,Weedle,Pokemon,Grass,◇,Basic,,50,,https://img.game8.co/3998345/90945e1d343b71b9b81367632fc6419d.png/show,Genetic Apex (A1),Mewtwo,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476009,Grass,,20,Sting,,,,,A1-M,,,
A1 009,Kakuna,Pokemon,Grass,◇,Stage 1,,80,,https://img.game8.co/4171709/300cbccc28291e780271427c6147a7f5.png/show,Genetic Apex (A1),Mewtwo,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476010,Grass,,30,Bug Bite,,,,,A1-M,,,
A1 010,Beedrill,Pokemon,Grass,◇◇◇,Stage 2,,120,,https://img.game8.co/4006294/0ee9cea4b4d3ce61396be4dd82cd9421.png/show,Genetic Apex (A1),Mewtwo,Stage 2,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476011,Grass,,70,Sharp Sting,,,,,A1-M,,,
A1 011,Oddish,Pokemon,Grass,◇,Basic,,60,,https://img.game8.co/4171726/f6e89388881bd46c1a2a12fb59fa7800.png/show,Genetic Apex (A1),Charizard,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476012,Grass,,20,Ram,,,,,A1-C,,,
A1 012,Gloom,Pokemon,Grass,◇◇,Stage 1,,80,,https://img.game8.co/3998364/e57c97310b27c6efac8506d7dd48921b.png/show,Genetic Apex (A1),Charizard,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476013,Grass:Colorless,,40,Drool,,,,,A1-C,,,
A1 013,Vileplume,Pokemon,Grass,◇◇◇,Stage 2,,140,,https://img.game8.co/4004049/8f7c224f4dde3d6d6012b428d57a748c.png/show,Genetic Apex (A1),Charizard,Stage 2,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476014,Grass 2:Colorless,Your opponent's Active Pokemon is now Asleep.,80,Soothing Scent,,,,,A1-C,,,
A1 014,Paras,Pokemon,Grass,◇,Basic,,70,,https://img.game8.co/4006689/109616011b848f2a6858f7f34eafa06a.png/show,Genetic Apex (A1),Pikachu,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476015,Grass:Colorless,,30,Scratch,,,,,A1-P,,,
A1 015,Parasect,Pokemon,Grass,◇◇,Stage 1,,120,,https://img.game8.co/4004050/ddfd3df6e04bf4b005bd856ced03be18.png/show,Genetic Apex (A1),Pikachu,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476016,Grass 2:Colorless,,80,Slash,,,,,A1-P,,,
A1 016,Venonat,Pokemon,Grass,◇,Basic,,60,,https://img.game8.co/4003547/5e326a850486a8ee124abdbc89d4e4b0.png/show,Genetic Apex (A1),Mewtwo,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476017,Grass,,20,Tackle,,,,,A1-M,,,
A1 017,Venomoth,Pokemon,Grass,◇◇,Stage 1,,80,,https://img.game8.co/4004056/277ad272b4379fa0fb3a423da11b729d.png/show,Genetic Apex (A1),Mewtwo,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476018,Grass,Your opponent's Active Pokemon is now Poisoned.,30,Poison Powder,,,,,A1-M,,,
A1 018,Bellsprout,Pokemon,Grass,◇,Basic,,60,,https://img.game8.co/3998361/0bb8f6247718d51699261c3b317fe1e2.png/show,Genetic Apex (A1),Charizard,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476019,Grass,,30,Vine Whip,,,,,A1-C,,,
A1 019,Weepinbell,Pokemon,Grass,◇◇,Stage 1,,90,,https://img.game8.co/4003551/f3c89b9b13f35dd7a9f7826673294337.png/show,Genetic Apex (A1),Charizard,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476020,Grass:Colorless,,40,Razor Leaf,,,,,A1-C,,,
A1 020,Victreebel,Pokemon,Grass,◇◇◇,Stage 2,,140,Fragrance Trap,https://img.game8.co/3998369/33445897d312b1f7e399bcd686aff8d8.png/show,Genetic Apex (A1),Charizard,Stage 2,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476021,Grass:Colorless,,60,Vine Whip,,,,,A1-C,,,
A1 021,Exeggcute,Pokemon,Grass,◇,Basic,,50,,https://img.game8.co/3998366/d833f142d39f949cb107c5ebde8d2cc8.png/show,Genetic Apex (A1),Charizard,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476022,Grass,,20,Seed Bomb,,,,,A1-C:A4b,,1.562% | 0.277% | 0% | 0%,
