number,name,rarity,stage,HP,type,weakness,retreat_cost,ultra_beast,generation,illustrator,pack_name,pack_points,ability_name,ability_effect,move1_name,move1_cost,move1_damage,move1_effect,move2_name,move2_cost,move2_damage,move2_effect,image,url
A1 001,Bulbasaur,◇,Basic,70,Grass,Fire,1,No,1,Narumi Sato,Genetic Apex (A1) Mewtwo,35,,,Vine Whip,🟢*️⃣,40,,,,,,https://img.game8.co/3998332/91c4f79b2b3b4206205bf69db8dd3d1e.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476002
A1 002,Ivysaur,◇◇,Stage 1,90,Grass,Fire,2,No,1,Kurata So,Genetic Apex (A1) Mewtwo,70,,,Razor Leaf,🟢*️⃣*️⃣,40,,,,,,https://img.game8.co/4006820/34e0ae3e3a08bf4586263f804fd42d06.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476003
A1 003,Venusaur,◇◇◇,Stage 2,160,Grass,Fire,3,No,1,Ryota Murayama,Genetic Apex (A1) Mewtwo,150,,,Mega Drain,🟢🟢*️⃣*️⃣,80,Heal 30 damage from this Pokemon.,,,,,https://img.game8.co/4003548/e62b9303f29d5360acfef5c9a1d8c6d3.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476004
A1 004,Venusaur ex,◇◇◇◇,Stage 2,190,Grass,Fire,3,No,1,PLANETA CG Works,Genetic Apex (A1) Mewtwo,500,,,Razor Leaf,🟢*️⃣*️⃣,60,,Giant Bloom,🟢🟢*️⃣*️⃣,100,Heal 30 damage from this Pokemon.,https://img.game8.co/3995580/151d2c9455f83899618147d85881a75e.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476005
A1 005,Caterpie,◇,Basic,50,Grass,Fire,1,No,1,Miki Tanaka,Genetic Apex (A1) Pikachu,35,,,Find a Friend,*️⃣,,Put 1 random Grass Pokemon from your deck into your hand.,,,,,https://img.game8.co/4004054/ac3d9d05b0255de5e3e1d2e6f5609407.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476006
A1 006,Metapod,◇,Stage 1,80,Grass,Fire,2,No,1,Yuka Morii,Genetic Apex (A1) Pikachu,35,,,Bug Bite,*️⃣*️⃣,30,,,,,,https://img.game8.co/4171622/30010ab7360bb1aca119daf648d716d2.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476007
A1 007,Butterfree,◇◇◇,Stage 2,120,Grass,Fire,1,No,1,Shin Nagasawa,Genetic Apex (A1) Pikachu,150,Powder Heal,"Once during your turn, you may heal 20 damage from each of your Pokemon.",,,,,Gust,🟢*️⃣*️⃣,60,,https://img.game8.co/4004057/6ba461fb08292cbabe715b6ead54dfb9.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476008
A1 008,Weedle,◇,Basic,50,Grass,Fire,1,No,1,Hajime Kusajima,Genetic Apex (A1) Mewtwo,35,,,Sting,🟢,20,,,,,,https://img.game8.co/3998345/90945e1d343b71b9b81367632fc6419d.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476009
A1 009,Kakuna,◇,Stage 1,80,Grass,Fire,2,No,1,miki kudo,Genetic Apex (A1) Mewtwo,35,,,Bug Bite,🟢,30,,,,,,https://img.game8.co/4171709/300cbccc28291e780271427c6147a7f5.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476010
A1 010,Beedrill,◇◇◇,Stage 2,120,Grass,Fire,1,No,1,You Iribi,Genetic Apex (A1) Mewtwo,150,,,Sharp Sting,🟢,70,,,,,,https://img.game8.co/4006294/0ee9cea4b4d3ce61396be4dd82cd9421.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476011
A1 011,Oddish,◇,Basic,60,Grass,Fire,1,No,1,HYOGONOSUKE,Genetic Apex (A1) Charizard,35,,,Ram,🟢,20,,,,,,https://img.game8.co/4171726/f6e89388881bd46c1a2a12fb59fa7800.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476012
A1 012,Gloom,◇◇,Stage 1,80,Grass,Fire,2,No,1,Anesaki Dynamic,Genetic Apex (A1) Charizard,70,,,Drool,🟢*️⃣,40,,,,,,https://img.game8.co/3998364/e57c97310b27c6efac8506d7dd48921b.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476013
A1 013,Vileplume,◇◇◇,Stage 2,140,Grass,Fire,3,No,1,Kyoko Umemoto,Genetic Apex (A1) Charizard,150,,,Soothing Scent,🟢🟢*️⃣,80,Your opponent's Active Pokemon is now Asleep.,,,,,https://img.game8.co/4004049/8f7c224f4dde3d6d6012b428d57a748c.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476014
